"city","position_id","position_name","position_edu","position_salary","position_work_exp","company_name","company_id","company_industry","company_size","company_lat","company_long"
"广州","7033995","python工程师","不限","1k-2k","应届毕业生","字言智语","749328","工具,软件开发","少于15人","23.12468","113.3612"
"广州","7038615","python后端","大专","3k-6k","不限","超悦文化","118432157","软件开发","少于15人","23.133533","113.247709"
"深圳","7040855","python工程师","本科","15k-25k","3-5年","汇翼信息科技","360816","移动互联网,广告营销","少于15人","22.549041","113.943289"
"北京","7052739","python开发工程师","本科","12k-20k","1-3年","MICO","22596","移动互联网","150-500人","39.961372","116.460422"
"北京","7056070","Python研发工程师（高级）","本科","20k-40k","5-10年","青藤云安全","35630","数据服务","150-500人","40.040723","116.310982"
"北京","7071440","python工程师","本科","30k-50k","3-5年","茄子快传","72720","工具","150-500人","40.046807","116.288106"
"上海","7073467","python爬虫","本科","14k-17k","3-5年","博奥特科技","69152","移动互联网,金融","150-500人","31.220724","121.381215"
"北京","7076264","高级python工程师(J11346)","本科","20k-30k","3-5年","明略科技集团","13171","数据服务,广告营销","2000人以上","40.047478","116.351281"
"上海","7080329","python","本科","15k-25k","3-5年","渡一教育","436888","移动互联网,教育","50-150人","31.218479","121.445911"
"广州","7088363","初级讲师（Python方向）","本科","7k-10k","1-3年","广东人民出版社","458757","电商","150-500人","23.114629","113.287254"
"广州","7108622","python爬虫","本科","7k-12k","1-3年","头文科技","263071","移动互联网,企业服务","50-150人","23.010231","113.352001"
"深圳","7115043","python教研实习生","本科","4k-6k","不限","风变科技（深圳）有限公司","321025","移动互联网,教育","500-2000人","22.546158","113.946884"
"上海","7115105","python开发工程师","大专","10k-17k","1-3年","微创软件","124652","企业服务,移动互联网","2000人以上","31.300095","121.517757"
"上海","7115223","python开发","大专","10k-14k","1-3年","苏测","202691","移动互联网,企业服务","500-2000人","31.194206","121.260211"
"上海","7118054","python开发工程师G00345","本科","20k-40k","不限","谷露软件","5002","数据服务,企业服务","50-150人","31.230438","121.481062"
"北京","7121294","Python 高级开发工程师","不限","25k-50k","5-10年","墨云科技","221192","信息安全","50-150人","40.04059","116.309306"
"北京","7121306","Python 开发工程师","本科","20k-40k","3-5年","墨云科技","221192","信息安全","50-150人","40.04059","116.309306"
"广州","7124665","python开发","大专","6k-9k","1-3年","天锐医健","132869","移动互联网,信息安全","50-150人","23.163417","113.431336"
"上海","7128405","python开发工程师","本科","10k-15k","1-3年","微创软件","124652","企业服务,移动互联网","2000人以上","31.02074","121.450985"
"上海","7128560","python","本科","18k-35k","3-5年","合阔信息","106387","企业服务,移动互联网","50-150人","31.208495","121.420258"
"上海","7128753","Python后端研发工程师","本科","15k-30k","3-5年","斗象科技","33219","信息安全","150-500人","31.198289","121.58109"
"深圳","7130210","Python开发工程师---0401","本科","15k-25k","3-5年","视野金融","60689","移动互联网,金融","50-150人","22.536218","114.05252"
"上海","7133089","python开发","本科","15k-17k","1-3年","微创软件","124652","企业服务,移动互联网","2000人以上","31.300546","121.513146"
"北京","7133978","Python开发工程师经理","本科","15k-30k","5-10年","泰康健投","68758","金融,医疗丨健康","2000人以上","39.92057","116.463252"
"上海","7135918","技术经理（python)","本科","20k-40k","5-10年","大亲家","367149","移动互联网,社交","15-50人","31.021401","121.463086"
"上海","7151416","Python开发工程师","本科","10k-20k","1-3年","雪湖科技","349667","数据服务,硬件","50-150人","31.214016","121.396945"
"上海","7161542","python开发工程师","不限","15k-20k","3-5年","经数科技","626065","企业服务","15-50人","31.299417","121.493193"
"北京","7183784","高级python开发工程师","本科","25k-45k","5-10年","音娱时光","286568","移动互联网","50-150人","39.977555","116.352145"
"广州","7184014","python开发工程师","本科","8k-15k","1-3年","广州三顾","117695483","文娱丨内容","15-50人","23.009878","113.352255"
"深圳","7191472","高级python开发工程师","本科","15k-25k","5-10年","华世界","558851","电商","50-150人","22.675233","114.12286"
"广州","7193518","python经理","大专","8k-10k","1-3年","迪奥科技","22708","消费生活,数据服务","15-50人","22.72124","113.530617"
"上海","7197739","Python工程师","不限","14k-28k","3-5年","乐言科技","133217","企业服务","500-2000人","31.217716","121.417125"
"上海","7200142","python实施工程师","本科","8k-13k","1-3年","达观数据","97882","人工智能","150-500人","31.199732","121.60245"
"上海","7200947","python开发工程师","本科","15k-19k","3-5年","微创软件","124652","企业服务,移动互联网","2000人以上","31.168666","121.400021"
"上海","7201275","广告平台开发工程师（Python/Go）","本科","15k-30k","1-3年","触宝","7030","移动互联网,数据服务","500-2000人","31.159507","121.354889"
"广州","7220783","python后端开发工程师","本科","5k-8k","不限","张量信息","82815340","移动互联网 数据服务","少于15人","23.093301","113.399595"
"广州","7222125","python讲师","本科","12k-21k","1-3年","掌恒科技","71698","移动互联网,消费生活","15-50人","23.083801","113.317388"
"广州","7228991","python开发工程师","本科","7k-14k","1-3年","公瑾","30162","移动互联网","2000人以上","23.127266","113.395434"
"北京","7230299","后端开发工程师（python)","本科","15k-30k","1-3年","GeneDock","35822","医疗丨健康,数据服务","15-50人","39.980413","116.369471"
"深圳","7231079","Python开发工程师","本科","15k-25k","1-3年","MICO","22596","移动互联网","150-500人","22.538501","114.051003"
"上海","7231424","python开发实习生G00328","本科","3k-6k","不限","谷露软件","5002","数据服务,企业服务","50-150人","31.230438","121.481062"
"上海","7233200","机器学习/Python工程师","本科","12k-20k","1-3年","设计院","61875","移动互联网,金融","2000人以上","31.248232","121.486318"
"上海","7233775","python高级爬虫工程师","本科","15k-20k","3-5年","新浪微舆情","179094","企业服务,消费生活","500-2000人","31.185424","121.585627"
"上海","7233781","python爬虫工程师","大专","9k-15k","1-3年","新浪微舆情","179094","企业服务,消费生活","500-2000人","31.185424","121.585627"
"上海","7235306","python开发工程师","本科","15k-25k","3-5年","百联全渠道电商","71514","电商,消费生活","500-2000人","30.994061","120.993464"
"上海","7237704","python开发工程师","本科","9k-15k","1-3年","奥途网络","118503301","软件开发","150-500人","31.233972","121.663882"
"深圳","7246070","测评题目编辑（Python方向）","本科","8k-16k","1-3年","风变科技（深圳）有限公司","321025","移动互联网,教育","500-2000人","22.546158","113.946884"
"深圳","7249734","高级python开发工程师(J10682)","本科","25k-40k","5-10年","AKULAKU","107664","移动互联网,金融","500-2000人","22.529035","113.943847"
"深圳","7253848","python开发工程师","硕士","30k-60k","5-10年","依瞳科技","84515915","人工智能","15-50人","22.52691","113.940586"
"广州","7259027","大数据开发工程师 (Spark/Python)","不限","12k-22k","不限","太湖云计算","41883","电商","150-500人","23.12608","113.321881"
"北京","7260668","python开发工程师","本科","15k-25k","5-10年","金科信息","613192","企业服务","150-500人","39.960691","116.288653"
"广州","7266454","python服务端开发工程师","本科","18k-36k","3-5年","网易","329","电商","2000人以上","23.126291","113.37322"
"广州","7269576","数据分析师（Python）","本科","8k-12k","1-3年","乐其电商","15533","电商","500-2000人","23.119794","113.400876"
"上海","7284860","高级python开发工程师","不限","18k-25k","3-5年","上海爱数","122814","数据服务,信息安全","500-2000人","31.07936","121.52633"
"上海","7297504","python后台开发工程师","本科","20k-25k","1-3年","众标智能科技","38786","电商,企业服务","50-150人","31.338535","121.433836"
"上海","7300595","python讲师","本科","20k-30k","3-5年","信息技术、软件开发、测试及应用","176248","移动互联网,教育","50-150人","31.20896","121.63474"
"深圳","7306978","python运维开发工程师 (MJ000150)","本科","20k-40k","不限","极光","917","企业服务","500-2000人","22.550224","113.908469"
"深圳","7318876","python爬虫工程师","不限","8k-15k","不限","闲猫互动","97901","移动互联网,广告营销","50-150人","22.523394","113.937985"
"广州","7321303","python后端工程师","本科","6k-10k","5-10年","江门市乾山混凝土有限公司","120424283","房产家居,软件开发","15-50人","23.125981","113.244261"
"上海","7325350","兼职讲师（Java，python，大数据，算法方向）","本科","30k-60k","3-5年","九章算法","397885","移动互联网,教育","15-50人","31.22986","121.46924"
"深圳","7327409","python开发工程师","本科","13k-17k","1-3年","金证睿服","282270","金融","2000人以上","22.541115","114.055517"
"北京","7329601","Python实施顾问","本科","10k-15k","1-3年","云势软件","145597","企业服务","150-500人","39.93304","116.45065"
"广州","7329857","python爬虫工程师","本科","13k-25k","3-5年","万联","84064","移动互联网,消费生活","15-50人","23.15385","113.31693"
"广州","7335339","python爬虫工程师","本科","6k-12k","3-5年","青木科技","26709","电商","500-2000人","23.08835","113.31885"
"上海","7337080","Python高级开发工程师 （自动下单购物方向）","本科","20k-30k","3-5年","55海淘","58109","电商","150-500人","31.171263","121.395972"
"北京","7338240","python开发工程师/GO开发工程师","本科","15k-30k","1-3年","必示科技","493877","人工智能","50-150人","39.994252","116.333669"
"北京","7345697","python开发工程师","本科","20k-40k","不限","理财魔方","68138","移动互联网,金融","50-150人","39.975","116.338633"
"上海","7346374","python开发工程师","本科","15k-25k","3-5年","合阔信息","106387","企业服务,移动互联网","50-150人","31.208495","121.420258"
"深圳","7347148","python开发工程师","本科","13k-25k","1-3年","联易融linklogis","145153","移动互联网,金融","150-500人","22.537843","113.94483"
"北京","7347740","python开发工程师","本科","15k-20k","3-5年","一网互通","304192","广告营销,移动互联网","50-150人","39.905452","116.514226"
"上海","7347787","python高级开发工程师","本科","23k-46k","10年以上","大亲家","367149","移动互联网,社交","15-50人","31.021401","121.463086"
"深圳","7348723","python系统架构师/高级后台开发","本科","30k-40k","5-10年","AKULAKU","107664","移动互联网,金融","500-2000人","22.529035","113.943847"
"北京","7349741","python开发工程师","本科","15k-20k","3-5年","聚云数字","118517057","广告营销","50-150人","39.974715","116.4755"
"广州","7349941","C++/Python软件工程师","本科","10k-15k","3-5年","同道科技","447750","企业服务,数据服务","15-50人","23.126051","113.321956"
"深圳","7354229","python web开发工程师","大专","10k-20k","1-3年","傲冠软件","404","企业服务","150-500人","22.535205","114.026222"
"北京","7354450","python开发工程师","本科","20k-30k","3-5年","融360","21643","金融","500-2000人","39.976792","116.310625"
"深圳","7355397","python开发工程师","本科","10k-15k","1-3年","博悦科创","117217","移动互联网","500-2000人","22.556923","114.070226"
"北京","7355604","python开发工程师","本科","15k-22k","3-5年","中科天玑","154474","移动互联网,数据服务","150-500人","39.98294","116.319802"
"广州","7358125","高级服务端开发（golang/Python）","本科","16k-32k","3-5年","金山办公软件","7835","移动互联网","2000人以上","23.123357","113.370459"
"深圳","7359332","Python高级工程师","本科","18k-30k","5-10年","WeLab卫盈联","15265","金融","500-2000人","22.528723","113.904651"
"上海","7362996","Python","本科","12k-16k","1-3年","舟恩信息","130659","移动互联网","150-500人","31.172672","121.452958"
"北京","7364249","Python后端","本科","20k-40k","3-5年","光之树科技","752011","金融,数据服务","15-50人","39.951377","116.469636"
"深圳","7364482","python爬虫工程师","本科","15k-25k","3-5年","世嘉传媒","120484736","企业服务","150-500人","22.524562","113.942755"
"广州","7365334","Python后端开发","本科","11k-20k","1-3年","短书","133165","移动互联网,企业服务","50-150人","23.033012","113.319813"
"上海","7366958","高级技师Python后端开发工程师","本科","20k-40k","5-10年","物超所值文化传媒","118607286","软件开发","50-150人","31.20389","121.323828"
"深圳","7368568","python开发工程师","本科","10k-17k","3-5年","嘉为信息","82874349","企业服务,数据服务","500-2000人","22.534941","114.024618"
"上海","7369987","python运维开发工程师","大专","12k-22k","3-5年","快乐种子","184625","教育,游戏","2000人以上","31.170456","121.395374"
"上海","7370942","python算法工程师（杨浦）","不限","12k-24k","1-3年","策推信息","413075","数据服务,人工智能","50-150人","31.307245","121.511995"
"深圳","7371343","python高级开发工程师","本科","15k-25k","5-10年","深圳市比一比网络科技有限公司","54255","电商,数据服务","50-150人","22.546322","113.947299"
"北京","7372611","python web 开发工程师","本科","6k-10k","1年以下","荟诚科技","120502307","人工智能,软件开发","15-50人","39.785013","116.497171"
"广州","7372913","Python研发工程师","本科","10k-20k","3-5年","浙大华南院","103677","移动互联网,企业服务","150-500人","23.15179","113.49511"
"深圳","7373972","软件开发岗（Python）","本科","15k-25k","1-3年","中移信息技术","117788775","数据服务,软件开发","2000人以上","22.526741","114.042992"
"北京","7374101","Python开发工程师","本科","20k-30k","5-10年","寄云科技","15083","移动互联网,数据服务","50-150人","39.972134","116.329519"
"深圳","7375013","python高级开发工程师","本科","15k-25k","3-5年","深圳市比一比网络科技有限公司","54255","电商,数据服务","50-150人","22.546322","113.947299"
"上海","7381561","Python实施顾问","本科","10k-20k","1-3年","云势软件","145597","企业服务","150-500人","31.196947","121.482289"
"深圳","7383875","python开发工程师","本科","10k-14k","1-3年","十方融海集团","187673","移动互联网,教育","150-500人","22.524722","113.937821"
"北京","7389849","python开发实习生工程师","本科","4k-6k","应届毕业生","拉勾网","147","企业服务","500-2000人","39.982128","116.307747"
"上海","7391479","服务器开发工程师（Python/Java）","本科","18k-35k","1-3年","莉莉丝游戏","1938","移动互联网,游戏","500-2000人","31.170277","121.392259"
"广州","7395318","Python开发工程师（天文背景）","本科","6k-8k","应届毕业生","织点智能","274523","移动互联网,人工智能","50-150人","23.078195","113.262716"
"北京","7395329","python实习生","本科","4k-6k","应届毕业生","金证股份","25317","金融","2000人以上","39.957415","116.32823"
"深圳","7395365","Python开发工程师","本科","9k-15k","1-3年","卧安科技","117560900","物联网,硬件","50-150人","22.58427","113.85994"
"广州","7398540","Python高级开发工程师","本科","15k-25k","3-5年","金财互联（002530）","256716","移动互联网","2000人以上","23.163137","113.429863"
"上海","7398845","python开发工程师","本科","15k-20k","1-3年","妈妈帮","17877","移动互联网,消费生活","50-150人","31.19945","121.58325"
"北京","7398984","Python开发工程师","本科","25k-35k","3-5年","木瓜移动","88","移动互联网","150-500人","40.015752","116.353717"
"北京","7400641","python开发工程师","本科","15k-25k","3-5年","聚云数字","118517057","广告营销","50-150人","39.974715","116.4755"
"深圳","7403390","python开发工程师","大专","9k-15k","1-3年","奥创高新","85641604","旅游,汽车丨出行","少于15人","22.529703","114.06968"
"北京","7403690","python高级开发工程师","本科","25k-35k","5-10年","达观数据","97882","人工智能","150-500人","39.976877","116.344462"
"上海","7403697","python开发工程师","本科","20k-30k","5-10年","达达集团","32836","消费生活","2000人以上","31.252839","121.531522"
"上海","7404902","Python开发（校园招聘）","本科","10k-20k","应届毕业生","Mobdata","431882","数据服务,广告营销","150-500人","31.177394","121.4171"
"深圳","7405604","python开发工程师","本科","12k-20k","3-5年","海万科技","128998","移动互联网,金融","500-2000人","22.541052","113.951368"
"上海","7405889","Python高级工程师","本科","20k-25k","5-10年","易居克而瑞","9553","移动互联网,消费生活","500-2000人","31.278159","121.458334"
"北京","7406301","后端python_c++策略研发工程师-话题业务","本科","20k-40k","1-3年","微博","5832","文娱丨内容","2000人以上","40.041426","116.276241"
"深圳","7406688","python工程师","本科","20k-40k","不限","易简空间","120559837","数据服务,其他","50-150人","22.730888","113.801901"
"北京","7407902","高级python开发工程师","本科","12k-20k","5-10年","上海中软华腾软件系统有限公司","22862","企业服务,金融","2000人以上","39.896778","116.375337"
"上海","7409423","python开发工程师","本科","15k-25k","3-5年","恺域科技","63577","电商,数据服务","50-150人","31.185663","121.658149"
"深圳","7412037","Python 高级工程师","本科","15k-20k","3-5年","韦达创新","85636549","软件开发,物联网","50-150人","22.555259","113.88402"
